ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"43.159.29.14","elite","AS132203","SG","Shenzhen Tencent Computer Systems Company Limited","153","Aceville Pte.ltd","28492","socks4","1","100","3853","3856","2025-12-04T16:15:28.080Z","1775"
"212.33.197.37","elite","AS43754","IR","Asiatech Data Transmission company","81","WANGSU","80","socks5","1","99","4170","4217","2025-12-04T16:15:28.266Z","4676"
"103.113.3.186","elite","AS137342","ID","Diskominfo Tangerang Selatan","169","N/A","4145","socks4","1","98","2833","2891","2025-12-04T16:15:28.200Z","4983"
"197.234.13.25","elite","AS36902","SC","Intelvision","123","Intelvision Ltd","4145","socks4","1","99","10925","11011","2025-12-04T16:15:28.076Z","3399"
"103.137.45.84","elite","AS147224","IN","Wsnl Broadband Private Limited","135","NIXI","55432","socks4","1","98","2097","2148","2025-12-04T16:15:28.081Z","4776"
"176.197.103.58","elite","AS39927","RU","Goodline.info","89","N/A","4145","socks4","1","78","3322","4261","2025-12-04T16:15:28.080Z","4227"
"139.59.238.215","elite","AS14061","SG","DIGITALOCEAN","245","DigitalOcean, LLC","3128","socks4","1","98","474","484","2025-12-04T16:15:28.201Z","3389"
"79.9.90.134","elite","AS3269","IT","INTERBUSINESS","27","N/A","1080","socks5","1","100","11019","11050","2025-12-04T16:15:28.198Z","4196"
"195.158.249.8","elite","AS207990","SI","HostRoyale Technologies Pvt Ltd","21","HostRoyale Technologies Pvt Ltd","54873","socks4","1","100","2515","2515","2025-12-04T16:15:28.269Z","3490"
"162.19.107.54","elite","AS16276","FR","OVH SAS","61","OVH","55824","socks4","1","70","467","664","2025-12-04T16:15:28.267Z","4581"
"113.161.248.125","elite","AS45899","VN","VietNam Post and Telecom Corporation","211","Vietnam Posts and Telecommunications Group","1080","socks4","1","98","10880","11098","2025-12-04T16:15:28.193Z","380"
"103.94.133.93","elite","AS136128","ID","PT CITRA AKSES INDONUSA","162","PT CITRA AKSES INDONUSA","4153","socks4","1","99","10881","11041","2025-12-04T16:15:28.268Z","4396"
"173.212.250.65","elite","AS51167","FR","Contabo GmbH","7","Contabo GmbH","14346","socks4","1","28","3078","11075","2025-12-04T16:15:28.200Z","2094"
"5.78.83.115","elite","AS212317","US","Hetzner Online GmbH","164","Hetzner Online GmbH","8080","socks4","1","100","552","552","2025-12-04T16:15:28.267Z","4603"
"81.162.195.35","elite","N/A","CZ","Martin Vicenik","26","N/A","4153","socks4","1","93","3868","4165","2025-12-04T16:15:28.074Z","3106"
"8.39.228.209","elite","AS399869","US","Visionary Communications LLC","132","Level 3, LLC","39593","socks4","1","100","11022","11052","2025-12-04T16:15:28.201Z","4283"
"213.166.82.158","elite","AS48031","UA","Ivanov Vitaliy Sergeevich","40","Proline IT Ltd","62715","socks4","1","100","10927","10947","2025-12-04T16:15:28.199Z","4874"
"185.162.231.235","elite","AS209242","GB","Cloudflare London, LLC","10","Softconstruct Limited","80","http","23697","100","12","12","2025-12-04T16:15:27.985Z","3118"
"103.81.117.122","elite","AS135851","IN","Excogitate Technologies Pvt. Ltd","167","Excogitate Technologies Pvt Ltd","4153","socks4","1","98","10897","11093","2025-12-04T16:15:27.972Z","4981"
"45.131.6.24","elite","AS209242","BZ","Cloudflare London, LLC","10","Inter Networks","80","http","23624","100","22","22","2025-12-04T16:15:27.993Z","3414"
"206.238.236.142","elite","AS399077","SG","Tcloudnet","7","Tcloudnet, Inc","80","http","23697","100","26","26","2025-12-04T16:15:27.984Z","4910"
"185.162.230.65","elite","AS209242","GB","Cloudflare London, LLC","7","Softconstruct Limited","80","http","23694","100","12","12","2025-12-04T16:15:27.989Z","1488"
"102.177.176.228","elite","AS209242","DE","Gerondata LTD","7","Gerondata LTD","80","http","23693","100","24","24","2025-12-04T16:15:27.990Z","4285"
"104.16.30.108","elite","AS13335","CA","Cloudflare, Inc.","11","Cloudflare, Inc.","80","http","22620","100","23","23","2025-12-04T16:15:05.070Z","1520"
"92.252.160.18","elite","AS12389","RU","PJSC Rostelecom","65","Ulyanovsk Branch of Rostelecom","7788","socks5","1","51","2132","4151","2025-12-04T16:15:05.086Z","4520"
"119.18.157.197","elite","AS55685","ID","PT. Jala Lintas Media","182","N/A","4145","socks4","1","94","10515","11148","2025-12-04T16:15:05.289Z","3899"
"175.29.188.126","elite","AS17469","BD","Access Telecom (BD) Ltd","174","Access Telecom (BD) Ltd","9090","socks4","1","98","4079","4160","2025-12-04T16:15:05.290Z","1981"
"121.141.50.246","elite","AS4766","KR","Korea Telecom","262","Kornet","5678","socks4","1","72","7981","11029","2025-12-04T16:15:05.085Z","2772"
"138.36.151.11","elite","AS263729","AR","Pedraza Luis Eduardo","234","Pedraza Luis Eduardo","8090","socks5","1","99","10973","11044","2025-12-04T16:15:05.092Z","4191"
"85.105.50.108","elite","AS9121","TR","Turk Telekomunikasyon A.S","68","TurkTelecom","80","socks4","1","100","3763","3776","2025-12-04T16:15:05.087Z","4509"
"5.9.144.19","elite","AS24940","DE","Hetzner Online GmbH","20","Hetzner","24940","socks5","1","91","9987","10993","2025-12-04T16:15:05.089Z","2798"
"115.144.119.172","elite","AS4766","KR","HAIonNet","281","whitebiz","27988","socks4","1","35","1484","4221","2025-12-04T16:15:05.090Z","1402"
